key,source,basis,place,article,sentence,coord_source,merged_series
ちびまる子ちゃんランド,公式選定,施設,ちびまる子ちゃんランド,アニメツーリズム協会(選定地の名称のみ),公式に選定されたマンガ・アニメ関連施設,jawiki,
サンリオピューロランド,公式選定,施設,サンリオピューロランド,アニメツーリズム協会(選定地の名称のみ),公式に選定されたマンガ・アニメ関連施設,osm(wikidata:Q1133851),
トキワ荘マンガミュージアム,公式選定,施設,トキワ荘マンガミュージアム,アニメツーリズム協会(選定地の名称のみ),公式に選定されたマンガ・アニメ関連施設,osm(wikidata:Q96707302),
ハーモニーランド,公式選定,施設,ハーモニーランド,アニメツーリズム協会(選定地の名称のみ),公式に選定されたマンガ・アニメ関連施設,osm(wikidata:Q11327370),
バンダイミュージアム,公式選定,施設,バンダイミュージアム,アニメツーリズム協会(選定地の名称のみ),公式に選定されたマンガ・アニメ関連施設,osm(wikidata:Q3329081),
京都国際マンガミュージアム,公式選定,施設,京都国際マンガミュージアム,アニメツーリズム協会(選定地の名称のみ),公式に選定されたマンガ・アニメ関連施設,osm(wikidata:Q783923),
北九州市漫画ミュージアム,公式選定,施設,北九州市漫画ミュージアム,アニメツーリズム協会(選定地の名称のみ),公式に選定されたマンガ・アニメ関連施設,osm(wikidata:Q121084173),
宝塚市立手塚治虫記念館,公式選定,施設,宝塚市立手塚治虫記念館,アニメツーリズム協会(選定地の名称のみ),公式に選定されたマンガ・アニメ関連施設,osm(wikidata:Q11452396),
宮沢賢治童話村,公式選定,施設,宮沢賢治童話村,アニメツーリズム協会(選定地の名称のみ),公式に選定されたマンガ・アニメ関連施設,osm(名前一致),
成田国際空港,公式選定,施設,成田国際空港,アニメツーリズム協会(選定地の名称のみ),公式に選定されたマンガ・アニメ関連施設,osm(wikidata:Q36454),
新潟市マンガの家,公式選定,施設,新潟市マンガの家,アニメツーリズム協会(選定地の名称のみ),公式に選定されたマンガ・アニメ関連施設,osm(wikidata:Q17209791),
新潟市マンガ・アニメ情報館,公式選定,施設,新潟市マンガ・アニメ情報館,アニメツーリズム協会(選定地の名称のみ),公式に選定されたマンガ・アニメ関連施設,osm(wikidata:Q17229556),
杉並アニメーションミュージアム,公式選定,施設,杉並アニメーションミュージアム,アニメツーリズム協会(選定地の名称のみ),公式に選定されたマンガ・アニメ関連施設,osm(wikidata:Q11095134),
東京都庁,公式選定,施設,東京都庁,アニメツーリズム協会(選定地の名称のみ),公式に選定されたマンガ・アニメ関連施設,osm(wikidata:Q1074185),
東映アニメーションミュージアム,公式選定,施設,東映アニメーションミュージアム,アニメツーリズム協会(選定地の名称のみ),公式に選定されたマンガ・アニメ関連施設,osm(wikidata:Q18337440),
横手市増田まんが美術館,公式選定,施設,横手市増田まんが美術館,アニメツーリズム協会(選定地の名称のみ),公式に選定されたマンガ・アニメ関連施設,osm(wikidata:Q38266963),
水木しげるロード,公式選定,施設,水木しげるロード,アニメツーリズム協会(選定地の名称のみ),公式に選定されたマンガ・アニメ関連施設,osm(wikidata:Q11548750),
氷見市潮風ギャラリー,公式選定,施設,氷見市潮風ギャラリー,アニメツーリズム協会(選定地の名称のみ),公式に選定されたマンガ・アニメ関連施設,jawiki,
永井豪記念館,公式選定,施設,永井豪記念館,アニメツーリズム協会(選定地の名称のみ),公式に選定されたマンガ・アニメ関連施設,jawiki,
石ノ森萬画館,公式選定,施設,石ノ森萬画館,アニメツーリズム協会(選定地の名称のみ),公式に選定されたマンガ・アニメ関連施設,osm(wikidata:Q4391562),
長谷川町子美術館,公式選定,施設,長谷川町子美術館,アニメツーリズム協会(選定地の名称のみ),公式に選定されたマンガ・アニメ関連施設,osm(wikidata:Q3788646),
青山剛昌ふるさと館,公式選定,施設,青山剛昌ふるさと館,アニメツーリズム協会(選定地の名称のみ),公式に選定されたマンガ・アニメ関連施設,osm(wikidata:Q11661221),
香美市立やなせたかし記念館,公式選定,施設,香美市立やなせたかし記念館,アニメツーリズム協会(選定地の名称のみ),公式に選定されたマンガ・アニメ関連施設,osm(wikidata:Q2496737),
アマガミ,公式選定,エリア,銚子市,アマガミ,作品記事に「背景画の多くは千葉県銚子市の実在施設や風景をモデルとしている」とある,osm(wikidata:Q694317),
しかのこのこのここしたんたん,公式選定,エリア,日野市,しかのこのこのここしたんたん,作品記事に「作中の舞台は、東京近郊で少し外れた場所にしたいという考えと、多摩動物公園があるという理由で日野市が選ばれた」とある,osm(wikidata:Q236197),
うたごえはミルフィーユ,公式選定,エリア,町田市,うたごえはミルフィーユ,作品記事に「作中に登場する『手鞠沢市』は東京都町田市がモデル」とある,osm(wikidata:Q210628),
TARI TARI(江の島),公式選定,エリア,江の島,TARI TARI,作品記事に「江ノ島および江ノ電沿線地域（神奈川県藤沢市、鎌倉市）を舞台にしており、湘南藤沢フィルムコミッション、江ノ島電鉄、藤沢市といった公的機関の協力を受けている」とある,osm(wikidata:Q989803),
私に天使が舞い降りた!,公式選定,エリア,長瀞町,私に天使が舞い降りた!,作品記事に「埼玉県秩父郡長瀞町が舞台であり、祭りを見学したり、川下りを体験する」とある,osm(wikidata:Q1345299),
とある魔術の禁書目録,公式選定,エリア,立川市,立川市,学園都市が舞台。同じ学園都市を舞台とする『とある科学の超電磁砲』が立川市の選定地であり、立川市の記事にも「アニメ版の学園都市において立川駅周辺とよく似た風景が登場する」とある,osm(wikidata:Q269634),
青春ブタ野郎シリーズ(金沢区),公式選定,モデル,横浜市立大学金沢八景キャンパス,青春ブタ野郎シリーズ,大学生編にて咲太たちの通う大学は、金沢八景駅が最寄りの市立大学とされている。モデルは横浜市立大学金沢八景キャンパス,osm(wikidata:Q914024),
日々は過ぎれど飯うまし,公式選定,モデル,東京都立大学南大沢キャンパス,日々は過ぎれど飯うまし,キャンパスの様子は東京都立大学の南大沢キャンパスがモデル,osm(名前一致),
3月のライオン,Wikipedia由来,登場,将棋会館,3月のライオン,将棋パートは、東京都渋谷区千駄ヶ谷の将棋会館が主な舞台となるが、タイトル戦などで他地方にも遠征することがある,osm(wikidata:Q11458601),
SHIROBAKO,公式選定,登場,武蔵境駅,SHIROBAKO,アニメ制作会社が多い東京都武蔵野市に所在するという設定で、最寄り駅として武蔵境駅が描かれている第4話のあおいと絵麻の帰宅シーンより,osm(wikidata:Q137550),
あの日見た花の名前を僕達はまだ知らない。(西武秩父駅),公式選定,登場,西武秩父駅,あの日見た花の名前を僕達はまだ知らない。,先述の西武鉄道や秩父鉄道が本作に対して協力的であり、劇中で同社の電車（西武4000系電車）や駅（飯能駅・西武秩父駅）などが登場する,osm(wikidata:Q7446590),
あの日見た花の名前を僕達はまだ知らない。(旧秩父橋),公式選定,登場,旧秩父橋,あの日見た花の名前を僕達はまだ知らない。,映画のポスターに描かれた旧秩父橋橋架下遊歩道,osm(名前一致),
がんばっていきまっしょい(三津駅),公式選定,登場,三津駅,がんばっていきまっしょい,劇場アニメに登場した実際の風景（伊予鉄道高浜線三津駅）,osm(wikidata:Q11356310),
がんばっていきまっしょい(三津の渡し),公式選定,登場,三津の渡し,がんばっていきまっしょい,劇場アニメに登場した実際の風景（三津の渡しの船着き場）,jawiki,
きみの色,公式選定,登場,旧五輪教会堂,きみの色,例えば、トツ子たちがバンドの練習をするシーンの劇伴では、モデルとなった旧五輪教会堂で音響測定を行い、響き方のデータセットを制作して、まるでその場所で鳴っているような楽曲になっている,jawiki,
こちら葛飾区亀有公園前派出所,Wikipedia由来,登場,亀有公園,こちら葛飾区亀有公園前派出所,亀有公園は亀有駅北口からすぐのところに実在するが、亀有公園前派出所は実在しない,osm(wikidata:Q11370961),
じゃりン子チエ,Wikipedia由来,登場,通天閣,じゃりン子チエ,大阪市頓馬区西萩を舞台に「頓馬区」という地名は実在しないが、作中に南海電車や通天閣が頻繁に描写されている,osm(wikidata:Q1148463),
ちはやふる,Wikipedia由来,登場,近江神宮,ちはやふる,同年7月19日に滋賀県の近江神宮で撮影現場取材会が行われ、主演の広瀬がエクステを付けてのロングヘアと劇中衣装のはかま姿で登場した,osm(wikidata:Q385407),
ハイキュー!!(仙台駅),Wikipedia由来,登場,仙台駅,ハイキュー!!,本作品のおもな舞台は宮城県となっており、仙台駅や仙台市体育館など宮城の地名・建物が登場する,jawiki,
ハイキュー!!(仙台市体育館),Wikipedia由来,登場,仙台市体育館,ハイキュー!!,本作品のおもな舞台は宮城県となっており、仙台駅や仙台市体育館など宮城の地名・建物が登場する,osm(wikidata:Q3174340),
ビブリア古書堂の事件手帖,Wikipedia由来,登場,北鎌倉駅,ビブリア古書堂の事件手帖,JR北鎌倉駅（本作の舞台近辺）,osm(wikidata:Q910286),
ラブライブ!(神田明神),公式選定,登場,神田明神,ラブライブ!,『神田明神』 - 劇中にも実名で登場,osm(wikidata:Q717682),
ラブライブ!(秋葉原UDX),公式選定,登場,秋葉原UDX,ラブライブ!,その校舎は秋葉原UDXビルをモデルにしている,jawiki,
ラブライブ!サンシャイン!!(あわしまマリンパーク),公式選定,登場,あわしまマリンパーク,ラブライブ!サンシャイン!!,骨折した父親に代わってダイビングショップ（あわしまマリンパークのカエル館がモデル）を経営するため長期休学していたが、第9話で学校に通うようになった,osm(wikidata:Q83789636),
ラブライブ!サンシャイン!!(安田屋旅館),公式選定,登場,安田屋旅館,ラブライブ!サンシャイン!!,実家は「十千万（とちまん）」という温泉旅館（モデルは安田屋旅館）で、3人姉妹の末っ子,osm(wikidata:Q54941670),
俺の妹がこんなに可愛いわけがない(そごう千葉店),公式選定,登場,そごう千葉店,俺の妹がこんなに可愛いわけがない,アニメ版や原作第7巻に登場する千葉都市モノレールおよびアニメ版に登場する「SOSO」のモデルとなったそごう千葉店（写真右側の建物）,osm(wikidata:Q11270305),
俺の妹がこんなに可愛いわけがない(千葉駅),公式選定,登場,千葉駅,俺の妹がこんなに可愛いわけがない,「千葉駅」と書かれた看板が登場する,osm(wikidata:Q800625),
俺の妹がこんなに可愛いわけがない(千葉公園),公式選定,登場,千葉公園,俺の妹がこんなに可愛いわけがない,アニメ版に登場する千葉公園の綿打池,osm(wikidata:Q11405927),
前橋ウィッチーズ(群馬県庁舎),公式選定,登場,群馬県庁舎,前橋ウィッチーズ,作中には群馬県庁舎や広瀬川、市内の商店街など実在の背景が描かれるjomo-news.co.jp 2024,jawiki,
四月は君の嘘,公式選定,登場,練馬文化センター,四月は君の嘘,なお、作中に登場する「藤和ホール」の外観は、練馬文化センターがモデルとなっている,osm(wikidata:Q11608082),
大奥,Wikipedia由来,登場,江戸城,大奥 (漫画),日本の江戸時代をモデルとした世界で、謎の疫病で男子の人口が急速に減少した結果、社会運営の根幹や権力が男から女に移っていく様を江戸城の大奥を中心に描く,osm(wikidata:Q865913),
火垂るの墓(夙川公園),Wikipedia由来,登場,夙川公園,火垂るの墓,居心地が悪くなった清太は節子を連れて家を出ることを決心し、近くの満池谷町の貯水池のほとりにある防空壕の中で暮らし始めるが貯水池は、現在の夙川公園北東部付近にある貯水池（ニテコ池）がモデル,jawiki,
火垂るの墓(夙川駅),Wikipedia由来,登場,夙川駅,火垂るの墓,舞台となった西宮市の西宮回生病院、香櫨園浜・夙川駅・夙川公園、ニテコ池（貯水池）、神戸市の御影公会堂や御影小学校、石屋川などを、モデルとなった場所を訪ねる人は絶えず、地域史研究の一環として地元の教育委員会が見学会を催すこともあるニテコ池へは阪神西宮駅より阪神バスの山手線もしくは鷲林寺線で「満池谷（まんぢだに）」下車すぐである（ここには巨大な墓地と火葬場がある）,osm(wikidata:Q7504863),
火垂るの墓(神戸市立御影公会堂),Wikipedia由来,登場,神戸市立御影公会堂,火垂るの墓,作中に登場する神戸市立御影公会堂（現存）,osm(wikidata:Q11590005),
火垂るの墓(三ノ宮駅),Wikipedia由来,登場,三ノ宮駅,火垂るの墓,また、幽霊の清太と節子が三ノ宮駅から電車に乗るシーンは当初、高畑の指示で全体的にセピア色で描かれた,osm(wikidata:Q14616729),
色づく世界の明日から,公式選定,登場,グラバー園,色づく世界の明日から,アニメで使用された背景画や人物画など30点を、物語の中で登場したグラバー園で展示,osm(wikidata:Q63465),
負けヒロインが多すぎる!(水上ビル),公式選定,登場,水上ビル,負けヒロインが多すぎる!,また、「水上ビル」「豊橋市地下資源館」「豊川稲荷」「JR飯田線」といった東三河の地名・施設や、ブラックサンダーやうずらサブレなど豊橋発祥の食べ物も登場する中日新聞三河版20231230,jawiki,
負けヒロインが多すぎる!(豊橋市地下資源館),公式選定,登場,豊橋市地下資源館,負けヒロインが多すぎる!,また、「水上ビル」「豊橋市地下資源館」「豊川稲荷」「JR飯田線」といった東三河の地名・施設や、ブラックサンダーやうずらサブレなど豊橋発祥の食べ物も登場する中日新聞三河版20231230,jawiki,
負けヒロインが多すぎる!(豊川稲荷),公式選定,登場,豊川稲荷,負けヒロインが多すぎる!,また、「水上ビル」「豊橋市地下資源館」「豊川稲荷」「JR飯田線」といった東三河の地名・施設や、ブラックサンダーやうずらサブレなど豊橋発祥の食べ物も登場する中日新聞三河版20231230,osm(wikidata:Q3080596),
Summer Pockets(直島),公式選定,登場,直島,Summer Pockets,瀬戸内海にある架空の離島である鳥白島（とりしろじま）を舞台としており、直島、男木島、女木島が島のモチーフとされている,jawiki,
Summer Pockets(男木島),公式選定,登場,男木島,Summer Pockets,瀬戸内海にある架空の離島である鳥白島（とりしろじま）を舞台としており、直島、男木島、女木島が島のモチーフとされている,osm(wikidata:Q3349795),
Summer Pockets(女木島),公式選定,登場,女木島,Summer Pockets,瀬戸内海にある架空の離島である鳥白島（とりしろじま）を舞台としており、直島、男木島、女木島が島のモチーフとされている,osm(wikidata:Q339004),
TARI TARI(鎌倉文学館),公式選定,登場,鎌倉文学館,TARI TARI,今は亡き祖父の豪邸鎌倉市長谷の鎌倉文学館がモデルとなっている第8話「気にしたり 思いっきり駆け出したり」オーディオコメンタリー,osm(wikidata:Q5214583),
青春ブタ野郎シリーズ(七里ヶ浜),公式選定,登場,七里ヶ浜,青春ブタ野郎シリーズ,中学生時代の咲太と、翔子との七里ヶ浜の海岸での出会いが描かれる,osm(wikidata:Q7496115),
STEINS;GATE(秋葉原ラジオ会館),公式選定,登場,秋葉原ラジオ会館,STEINS;GATE,モデルとなった場所（作中での名称／実際の名称）の表に挙げられている,osm(wikidata:Q5363328),
STEINS;GATE(柳森神社),公式選定,登場,柳森神社,STEINS;GATE,モデルとなった場所（作中での名称／実際の名称）の表に挙げられている,osm(wikidata:Q55532885),
STEINS;GATE(秋葉神社),公式選定,登場,秋葉神社,STEINS;GATE,モデルとなった場所（作中での名称／実際の名称）の表に挙げられている,osm(名前一致),
STEINS;GATE(秋葉原駅),公式選定,登場,秋葉原駅,STEINS;GATE,モデルとなった場所（作中での名称／実際の名称）の表に挙げられている,osm(wikidata:Q800374),
STEINS;GATE(芳林公園),公式選定,登場,芳林公園,STEINS;GATE,モデルとなった場所（作中での名称／実際の名称）の表に挙げられている,osm(名前一致),
STEINS;GATE(メイリッシュ),公式選定,登場,メイリッシュ,STEINS;GATE,モデルとなった場所（作中での名称／実際の名称）の表に挙げられている,jawiki,
うさぎドロップ(土浦駅),Wikipedia由来,登場,土浦駅,うさぎドロップ,実写映画の「ロケ地」節に挙げられている,osm(wikidata:Q5364280),
うさぎドロップ(竜ヶ崎駅),Wikipedia由来,登場,竜ヶ崎駅,うさぎドロップ,実写映画の「ロケ地」節に挙げられている,osm(wikidata:Q7385617),
デジモンアドベンチャー(東京タワー),公式選定,登場,東京タワー,デジモンアドベンチャー,「作中に登場した実在の建造物・キャラクター・番組」節に挙げられている,osm(wikidata:Q183536),
デジモンアドベンチャー(お台場),公式選定,登場,お台場,デジモンアドベンチャー,「作中に登場した実在の建造物・キャラクター・番組」節に挙げられている,osm(wikidata:Q211861),
デジモンアドベンチャー(東京ビッグサイト),公式選定,登場,東京ビッグサイト,デジモンアドベンチャー,「作中に登場した実在の建造物・キャラクター・番組」節に挙げられている,osm(名前一致),
デジモンアドベンチャー(FCGビル),公式選定,登場,FCGビル,デジモンアドベンチャー,「作中に登場した実在の建造物・キャラクター・番組」節に挙げられている,osm(wikidata:Q10954019),
デジモンアドベンチャー(レインボーブリッジ),公式選定,登場,レインボーブリッジ,デジモンアドベンチャー,「作中に登場した実在の建造物・キャラクター・番組」節に挙げられている,osm(wikidata:Q1046736),
デジモンアドベンチャー(竹芝桟橋),公式選定,登場,竹芝桟橋,デジモンアドベンチャー,「作中に登場した実在の建造物・キャラクター・番組」節に挙げられている,jawiki,
デジモンアドベンチャー(光が丘団地),公式選定,登場,光が丘団地,デジモンアドベンチャー,「作中に登場した実在の建造物・キャラクター・番組」節に挙げられている,osm(wikidata:Q11388203),
デジモンアドベンチャー(新宿駅),公式選定,登場,新宿駅,デジモンアドベンチャー,「作中に登場した実在の建造物・キャラクター・番組」節に挙げられている,osm(wikidata:Q801447),
デジモンセイバーズ(横浜港大さん橋国際客船ターミナル),Wikipedia由来,登場,横浜港大さん橋国際客船ターミナル,デジモンセイバーズ,「作中に登場した実在する建造物・地名」節に挙げられている,osm(名前一致),
デジモンセイバーズ(港の見える丘公園),Wikipedia由来,登場,港の見える丘公園,デジモンセイバーズ,「作中に登場した実在する建造物・地名」節に挙げられている,osm(wikidata:Q11563016),
デジモンセイバーズ(横浜マリンタワー),Wikipedia由来,登場,横浜マリンタワー,デジモンセイバーズ,「作中に登場した実在する建造物・地名」節に挙げられている,osm(wikidata:Q1207989),
デジモンセイバーズ,Wikipedia由来,登場,富士山,デジモンセイバーズ,「作中に登場した実在する建造物・地名」節に挙げられている,osm(wikidata:Q39231),
デジモンフロンティア(渋谷駅),Wikipedia由来,登場,渋谷駅,デジモンフロンティア,「作中に登場した実在の建造物・地名」節に挙げられている,osm(wikidata:Q428811),
デジモンフロンティア(自由が丘駅),Wikipedia由来,登場,自由が丘駅,デジモンフロンティア,「作中に登場した実在の建造物・地名」節に挙げられている,osm(wikidata:Q800972),
ハチミツとクローバー_2,Wikipedia由来,登場,茅ヶ崎館,ハチミツとクローバー,実写映画の「ロケ地」節に挙げられている,jawiki,
ハチミツとクローバー_3,Wikipedia由来,登場,高崎市役所,ハチミツとクローバー,実写映画の「ロケ地」節に挙げられている,osm(名前一致),
前橋ウィッチーズ(グリーンドーム前橋),公式選定,登場,グリーンドーム前橋,前橋ウィッチーズ,「聖地」節の「作中に登場する場所」に挙げられている,jawiki,
前橋ウィッチーズ(前橋駅),公式選定,登場,前橋駅,前橋ウィッチーズ,「聖地」節の「作中に登場する場所」に挙げられている,osm(wikidata:Q1062416),
前橋ウィッチーズ(広瀬川),公式選定,登場,広瀬川,前橋ウィッチーズ,「聖地」節の「作中に登場する場所」に挙げられている,osm(名前一致)※要目視,
竜とそばかすの姫(浅尾沈下橋),公式選定,登場,浅尾沈下橋,竜とそばかすの姫,「舞台となった場所」節に挙げられている,osm(名前一致),
竜とそばかすの姫(伊野駅),公式選定,登場,伊野駅,竜とそばかすの姫,「舞台となった場所」節に挙げられている,osm(wikidata:Q10885165),
竜とそばかすの姫,公式選定,登場,多摩川駅,竜とそばかすの姫,「舞台となった場所」節に挙げられている,osm(wikidata:Q7680540),
八十亀ちゃんかんさつにっき(名古屋城),Wikipedia由来,登場,名古屋城,八十亀ちゃんかんさつにっき,「作中に登場する実在の物」節に挙げられている,osm(wikidata:Q648629),
八十亀ちゃんかんさつにっき(大須観音),Wikipedia由来,登場,大須観音,八十亀ちゃんかんさつにっき,「作中に登場する実在の物」節に挙げられている,osm(wikidata:Q3594052),
八十亀ちゃんかんさつにっき(大須商店街),Wikipedia由来,登場,大須商店街,八十亀ちゃんかんさつにっき,「作中に登場する実在の物」節に挙げられている,osm(wikidata:Q8081716),
八十亀ちゃんかんさつにっき(犬山城),Wikipedia由来,登場,犬山城,八十亀ちゃんかんさつにっき,「作中に登場する実在の物」節に挙げられている,osm(wikidata:Q1155484),
八十亀ちゃんかんさつにっき(ナゴヤドーム),Wikipedia由来,登場,ナゴヤドーム,八十亀ちゃんかんさつにっき,「作中に登場する実在の物」節に挙げられている,osm(wikidata:Q929524),
八十亀ちゃんかんさつにっき(名古屋駅),Wikipedia由来,登場,名古屋駅,八十亀ちゃんかんさつにっき,「作中に登場する実在の物」節に挙げられている,osm(wikidata:Q49381),
八十亀ちゃんかんさつにっき(萬松寺),Wikipedia由来,登場,萬松寺,八十亀ちゃんかんさつにっき,「作中に登場する実在の物」節に挙げられている,osm(wikidata:Q608994),
八十亀ちゃんかんさつにっき(ツインアーチ138),Wikipedia由来,登場,ツインアーチ138,八十亀ちゃんかんさつにっき,「作中に登場する実在の物」節に挙げられている,osm(wikidata:Q11318660),
八十亀ちゃんかんさつにっき(ナナちゃん人形),Wikipedia由来,登場,ナナちゃん人形,八十亀ちゃんかんさつにっき,「作中に登場する実在の物」節に挙げられている,osm(名前一致),
Cosmic Baton Girl コメットさん☆(由比ヶ浜),Wikipedia由来,登場,由比ヶ浜,Cosmic Baton Girl コメットさん☆,神奈川県鎌倉市がモチーフとなっており、電車や駅周辺は江ノ島電鉄を、藤吉家周辺は鎌倉市住宅街を、海岸は由比ヶ浜・稲村ヶ崎・七里ヶ浜をモデルとしたものである,osm(wikidata:Q8060490),
Cosmic Baton Girl コメットさん☆(七里ヶ浜),Wikipedia由来,登場,七里ヶ浜,Cosmic Baton Girl コメットさん☆,神奈川県鎌倉市がモチーフとなっており、電車や駅周辺は江ノ島電鉄を、藤吉家周辺は鎌倉市住宅街を、海岸は由比ヶ浜・稲村ヶ崎・七里ヶ浜をモデルとしたものである,osm(wikidata:Q7496115),
NEW GAME!(南阿佐ケ谷駅),Wikipedia由来,登場,南阿佐ケ谷駅,NEW GAME!,テレビアニメ版で美術を担当した鈴木俊輔によれば、イーグルジャンプが所在する雑居ビルのモデルとなった建物も実在しているものの、実は最寄り駅は阿佐ケ谷駅ではなく、南阿佐ケ谷駅であると明かしているTVアニメオフィシャルガイド 95,osm(wikidata:Q1073001),
NEW GAME!(阿佐ケ谷駅),Wikipedia由来,登場,阿佐ケ谷駅,NEW GAME!,劇中に登場する阿佐ケ谷駅南口,osm(wikidata:Q800402),
One Room,Wikipedia由来,登場,清澄白河駅,One Room,作品の舞台のモデルとなっているのは練馬区旭ヶ丘周辺で、西武鉄道江古田駅をモチーフにした駅が登場し、西武鉄道の車両も第1話に登場している（第1期第2部は東京都江東区清澄白河駅周辺）,osm(wikidata:Q80542),
あっちこっち,Wikipedia由来,登場,稲毛海岸駅,あっちこっち,アニメ版に登場する猫毛海岸駅のモデルとなった稲毛海岸駅,osm(wikidata:Q2583249),
いなり、こんこん、恋いろは。,Wikipedia由来,登場,伏見稲荷大社,いなり、こんこん、恋いろは。,伏見稲荷大社がモデルとされており、その縁から後述のテレビアニメ版では実際に全面バックアップを受けることとなった,osm(wikidata:Q714828),
かみちゅ!(艮神社),Wikipedia由来,登場,艮神社,かみちゅ!,また、物語の主な舞台であるゆりえたちが通う中学校は尾道市立土堂小学校が、来福神社の社殿は艮神社 (尾道市長江)、境内は御袖天満宮が、それぞれモデルとされた,osm(wikidata:Q29115973),
かみちゅ!(御袖天満宮),Wikipedia由来,登場,御袖天満宮,かみちゅ!,また、物語の主な舞台であるゆりえたちが通う中学校は尾道市立土堂小学校が、来福神社の社殿は艮神社 (尾道市長江)、境内は御袖天満宮が、それぞれモデルとされた,osm(wikidata:Q11489320),
きみの声をとどけたい,Wikipedia由来,登場,龍口寺,きみの声をとどけたい,龍口寺がモデル,osm(wikidata:Q1632583),
たまこまーけっと(京都駅),Wikipedia由来,登場,京都駅,たまこまーけっと,また、「たまこラブストーリー」のラストシーンでは、JR京都駅の構内風景が登場する,osm(wikidata:Q801046),
たまこまーけっと(藤森駅),Wikipedia由来,登場,藤森駅,たまこまーけっと,沿いの歩道の場面は、京都市伏見区深草キトロ町にある京阪本線藤森駅周辺であり、エンディングにおいて「取材協力」の形でクレジットされている,osm(wikidata:Q2153600),
だんちがい,Wikipedia由来,登場,立川駅,だんちがい,舞台はJR立川駅周辺がモデルであり、これは原作者の行動範囲にある団地のイメージに由来している一迅社刊Febri Vol.29 p.134~135 米田和佐先生インタビューより,osm(wikidata:Q801501),
ふれる。(高田馬場),Wikipedia由来,登場,高田馬場,ふれる。,"』に""ふれる"" in 高田馬場 - 映画公式サイト新宿・高田馬場エリアが舞台の映画『ふれる",osm(wikidata:Q3142926),
ふれる。(落合中央公園),Wikipedia由来,登場,落合中央公園,ふれる。,劇中で重要な場面の舞台となる新宿区立落合中央公園のグラウンド,osm(wikidata:Q11620561),
エルフェンリート,Wikipedia由来,登場,江の島,エルフェンリート,物語終盤では神奈川県藤沢市内の江の島も登場している,osm(wikidata:Q989803),
カイチュー!,Wikipedia由来,登場,小田原城,カイチュー!,また、正式には言及されてはいないが、西湘市（せいしょう）「小田川」の町は、「小田川城」の天守閣の外観が小田原城と酷似していることや、「小田川駅」が新幹線停車駅であることから、小田原市がモデルになっていることがわかる,osm(wikidata:Q1013437),
サザエさん,Wikipedia由来,登場,桜新町駅,サザエさん,生涯で最も長い期間住み続け、本作の舞台となったこと、長谷川町子美術館が1985年に開館したため、桜新町商店街振興組合が音頭をとって東急田園都市線の桜新町駅前から国道246号へとつながる「中通り」を1987年に「サザエさん通り」と改称された,osm(wikidata:Q261870),
シグルイ,Wikipedia由来,登場,駿府城,シグルイ,その肩書に違わぬ技量を誇り、隻腕となった藤木と手合わせした際は、駿府城で見た伊良子の逆流れを槍で再現し、藤木を一撃で昏倒させた,jawiki,
ジョゼと虎と魚たち,Wikipedia由来,登場,なんばパークス,ジョゼと虎と魚たち,2020年11月27日より、本編で登場したなんばパークスとのタイアップ企画が実施された,osm(wikidata:Q6961367),
スカイガールズ,Wikipedia由来,登場,追浜駅,スカイガールズ,桜野音羽、園宮可憐、一条瑛花の3人は神奈川県横須賀市追浜最寄り駅は京急本線追浜駅であり、3人が休日に横須賀中央へ遊びに行く際に京急1000形初期車が登場している,osm(wikidata:Q7098536),
ハナヤマタ,Wikipedia由来,登場,江ノ島駅,ハナヤマタ,単行本4巻25Pでは長谷駅の駅名が登場する他、単行本5巻107Pの回想では江ノ島駅が英字表記で登場する,osm(wikidata:Q846972),
侵略!イカ娘(鎌倉駅),Wikipedia由来,登場,鎌倉駅,侵略!イカ娘,場所については栄子が現在位置として神奈川県の地図の海辺を指し示す（第47話）、千鶴と悟郎が鎌倉駅前と酷似した場所をデートの待ち合わせ場所とする（第91話）といった描写がある,osm(wikidata:Q932895),
侵略!イカ娘(江ノ島),Wikipedia由来,登場,江ノ島,侵略!イカ娘,隣町の海水浴場（モデルは藤沢市江ノ島東浜海水浴場）にある海の家,osm(wikidata:Q989803),
南鎌倉高校女子自転車部,Wikipedia由来,登場,極楽寺駅,南鎌倉高校女子自転車部,キービジュアルでは江ノ電・極楽寺駅前に佇むヒロインたちが描かれている,osm(wikidata:Q858997),
名探偵コナン 世紀末の魔術師(大阪城),Wikipedia由来,登場,大阪城,名探偵コナン 世紀末の魔術師,新幹線でコナンたちが降り立った新大阪駅から、大阪城、通天閣、大阪ドーム、公開当時の読売テレビ社屋など、実在する建造物を多数見ることができる,osm(wikidata:Q321242),
名探偵コナン 世紀末の魔術師(大阪ドーム),Wikipedia由来,登場,大阪ドーム,名探偵コナン 世紀末の魔術師,新幹線でコナンたちが降り立った新大阪駅から、大阪城、通天閣、大阪ドーム、公開当時の読売テレビ社屋など、実在する建造物を多数見ることができる,osm(wikidata:Q128836),
名探偵コナン 世紀末の魔術師(新大阪駅),Wikipedia由来,登場,新大阪駅,名探偵コナン 世紀末の魔術師,新幹線でコナンたちが降り立った新大阪駅から、大阪城、通天閣、大阪ドーム、公開当時の読売テレビ社屋など、実在する建造物を多数見ることができる,osm(wikidata:Q801438),
