key,article,place_kind,pref,muni,origin_pref,origin_muni,origin_basis,origin_sentence,local_pref,local_muni,local_sentence,coord,pageviews_month,muni_basis,muni_sentence,muni_shop,origin_verdict,origin_verdict_sentence
辛麺,辛麺,発祥地,宮崎県,延岡市,宮崎県,延岡市,発祥を述べる文,辛麺（からめん）、宮崎辛麺（みやざきからめん）は、宮崎県延岡市発祥の麺料理（ご当地ラーメン）。,,,,"osm(place=city,node:739203691)",1391,,,,発祥がわかる,延岡市内に本店を構える「辛麺屋桝元」が発祥とされ、桝元では小麦粉とそば粉から作ったコシの強い麺が特徴で、コシの強さはコンニャクにも例えられるまっぷる宮崎_p28 るるぶ宮崎_p52。
南部煎餅,南部煎餅,発祥地,青森県,おいらせ町,青森県,おいらせ町,発祥を述べる文,現存する国内最古の南部煎餅店は、明治6年（1873年）創業の青森県おいらせ町「川越せんべい店」。,,,,"osm(place=town,node:734876509)",1384,,,,発祥は特定なし,その由来には諸説あるものの、青森県八戸地域が発祥である部分は共通しており、一般的には「長慶天皇創始説」が広く知られている。
桔梗信玄餅,桔梗信玄餅,発祥地,山梨県,笛吹市,山梨県,笛吹市,冒頭の定義文,桔梗信玄餅（ききょうしんげんもち）は、山梨県笛吹市の菓子メーカー・株式会社桔梗屋が製造・販売する土産菓子である。,,,,"osm(place=city,node:1812111051)",1381,,,,発祥がわかる,桔梗信玄餅（ききょうしんげんもち）は、山梨県笛吹市の菓子メーカー・株式会社桔梗屋が製造・販売する土産菓子である。
藤稔,藤稔,発祥地,神奈川県,藤沢市,神奈川県,藤沢市,冒頭の定義文,藤稔（ふじみのり）は、神奈川県藤沢市で作出されたブドウ品種。,,,,"osm(place=city,node:2115184122)",1380,,,,発祥がわかる,藤沢市長後地区に住む青木一直が、「人々に喜ばれる葡萄」をテーマに苦難の末開発した。
島寿司,島寿司,発祥地,東京都,八丈町,東京都,八丈町,都道府県のみ,島寿司（しまずし）は東京都の伊豆諸島にある八丈島の郷土料理で、握り寿司の一種である。,,,,"osm(place=town,node:1674151142)",1378,本文の読み直し,島寿司（しまずし）は東京都の伊豆諸島にある八丈島の郷土料理で、握り寿司の一種である。,,発祥は特定なし,伊豆諸島では温暖な地域で寿司を食べるために明治以降に独自の技法が発達した。
博多通りもん,博多通りもん,発祥地,福岡県,福岡市,福岡県,福岡市,冒頭の定義文,博多通りもん（はかたとおりもん）は、福岡県福岡市博多区に所在する株式会社明月堂が製造している土産菓子である。,,,,"osm(place=city,node:1932338735)",1361,,,,発祥がわかる,博多通りもん（はかたとおりもん）は、福岡県福岡市博多区に所在する株式会社明月堂が製造している土産菓子である。
味噌煮込みうどん,味噌煮込みうどん,発祥地,愛知県,名古屋市,愛知県,名古屋市,発祥を述べる文,愛知県の味噌煮込みうどん概要名古屋市を中心とした中京地方では、主に製造・消費される赤味噌を用いるのが特徴。,,,,"osm(place=city,node:569005393)",1359,,,,発祥は特定なし,戦国時代、武田信玄の陣中食であったほうとうが、武田家の滅亡後に徳川家に召し抱えられた武田家遺臣によって徳川家に伝えられたものであるという説や、明治時代、愛知県一宮市周辺で盛んであった繊維産業に従事していた女性従業員たちが、ほうとうを参考にうどんと野菜を豆味噌で煮込み食していたものが名古屋市周辺に伝わったという説など、ほうとうにルーツを求めるものを中心にその起源には諸説ある。
チキン弁当,チキン弁当,発祥地,東京都,,東京都,,都道府県のみ,1974年 - 東京駅で販売される商品のパッケージを現在の一段タイプに変更。,,,,"osm(東京都の代表:東京駅,node:2149761647)",1359,,,,発祥がわかる,チキン弁当（チキンべんとう）は、1964年10月に日本食堂（現：JR東日本クロスステーション・フーズカンパニー）が発売開始した駅弁である。
焼きうどん,焼きうどん,発祥地,福岡県,北九州市,福岡県,北九州市,発祥を述べる文,歴史焼きうどんの元祖を名乗る店舗は複数あり、発祥は定かではないが北九州市小倉とされている。,兵庫県,姫路市,ちゃんぽん焼き兵庫県姫路市周辺で食べられている麺料理で、焼きそばと焼きうどんを合わせたもの。,"osm(place=city,node:5410283420)",1350,,,,発祥がわかる,戦後、「焼きそば」を作ろうとした小倉の食堂「だるま堂」の店主が、「そば麺」が無かったため、干うどんを使って焼うどんを作ったのが始まりだと言われている。
バター餅,バター餅,ご当地,秋田県,北秋田市,秋田県,北秋田市,冒頭の定義文,バター餅（バターもち）は、北秋田市の郷土菓子。,秋田県,北秋田市,北秋田市の特産品として日本バター餅協会より認定されている業者は、13店舗存在する。,"osm(place=city,node:752195650)",1333,,,,発祥は特定なし,水に一晩浸したもち米を搗き、他の材料（バター・小麦粉・卵黄・砂糖など）を加えて混ぜて作られている、バターを入れることで時間が経っても硬くなりにくく、餅の柔らかな食感が保たれているという特徴があり、このことから伝統的方法で冬に狩猟をする「マタギ」たちの間で保存食として用いられていた。
広島つけ麺,広島つけ麺,ご当地,広島県,広島市,広島県,広島市,冒頭の定義文,広島つけ麺（ひろしまつけめん）あるいは広島風つけ麺（ひろしまふうつけめん）は、広島県、特に広島市周辺の飲食店で提供されるつけ麺の一種である。,広島県,広島市,広島つけ麺（ひろしまつけめん）あるいは広島風つけ麺（ひろしまふうつけめん）は、広島県、特に広島市周辺の飲食店で提供されるつけ麺の一種である。,"osm(place=city,node:1590291928)",1308,,,,発祥がわかる,1954年に広島市八丁堀（現・中区八丁堀）で開店した中華料理店「新華園」が発祥の店とされている（現在は中区河原町に移転）。
鹿児島ラーメン,鹿児島ラーメン,発祥地,鹿児島県,鹿児島市,鹿児島県,鹿児島市,発祥を述べる文,代表的な老舗店舗2024年1月29日 (月) 21:12 (UTC) 料理 鹿児島県 鹿児島市 各店舗のラーメン、店舗外観の写真のぼる屋鹿児島市内最古のラーメン屋で1947年（昭和22年）に創業。,,,,"osm(place=city,node:640003455)",1308,,,,発祥は特定なし,各店舗が独自に発達させてきたため鹿児島ラーメン総体としての特徴は無いとも言われている岩岡。
高山ラーメン,高山ラーメン,ご当地,岐阜県,高山市,岐阜県,高山市,冒頭の定義文,高山ラーメン（たかやまラーメン）は、主に岐阜県高山市で食べられているラーメンの一種。,岐阜県,高山市,高山ラーメン（たかやまラーメン）は、主に岐阜県高山市で食べられているラーメンの一種。,"osm(place=city,node:315430925)",1303,,,,発祥は特定なし,高山のラーメンは昭和初期が始まりだと言われていることりっぷ。
松前漬け,松前漬け,発祥地,北海道,松前町,北海道,松前町,発祥を述べる文,「松前」の名前のとおり、松前藩（現在の北海道松前郡松前町周辺）の郷土料理が発祥である。,,,,"osm(place=town,node:420194984)",1269,,,,発祥は特定なし,成立については史料に乏しく、様々な起源伝承がある。
汁なし担々麺,汁なし担々麺,発祥地,広島県,広島市,広島県,広島市,発祥を述べる文,"広島汁なし担担麺の元祖は、2001年（平成13年）に広島県広島市中区で創業した「きさく」である""出典"" dive dancyu2018 中国新聞 トリパ kawanaka-shouyu 広島三大ソウルフード mapple240618。",,,,"osm(place=city,node:1590291928)",1265,,,,発祥がわかる,広島汁なし担担麺の元祖は、2001年（平成13年）に広島県広島市中区で創業した「きさく」である
太平燕,太平燕,発祥地,熊本県,熊本市,熊本県,熊本市,発祥を述べる文,歴史元祖は中華園（熊本市桜町「県民百貨店」8階、1933年創業、2015年閉店）と言われているが、会楽園（熊本市新町）や紅蘭亭（熊本市安政町）を発祥とする説もある。,,,,"osm(place=city,node:642042925)",1259,,,,発祥は特定なし,元祖は中華園（熊本市桜町「県民百貨店」8階、1933年創業、2015年閉店）と言われているが、会楽園（熊本市新町）や紅蘭亭（熊本市安政町）を発祥とする説もある。
いきなり団子,いきなり団子,発祥地,熊本県,,熊本県,,都道府県のみ,いきなり団子（いきなりだんご）は、熊本県および九州地方の郷土料理、郷土菓子である。,,,,"osm(県庁所在地:熊本市,node:642042925)",1250,,,,発祥は特定なし,熊本県の大津地域をはじめ、菊池平野や熊本平野の農家では、サツマイモの収穫時期のおやつとして食べられていた。
柿の葉寿司,柿の葉寿司,発祥地,奈良県,,奈良県,,都道府県のみ,柿の葉寿司（かきのはずし、またはかきのはすし）は、奈良県・和歌山県、および石川県加賀地方、鳥取県智頭地方の郷土料理。,,,,"osm(紀の川の上流の代表:五條市,node:2483579070)",1224,紀の川の上流の代表(表に当てた),柿の葉寿司は紀の川の上流を産地として江戸時代に生まれたと言われている。,,発祥は特定なし,柿の葉寿司は紀の川の上流を産地として江戸時代に生まれたと言われている。
好来系ラーメン,好来系ラーメン,ご当地,愛知県,名古屋市,愛知県,名古屋市,冒頭の定義文,好来系ラーメン（こうらいけいラーメン）は、主に愛知県名古屋市を中心とするラーメン店で提供されるラーメンの一種である。,愛知県,名古屋市,好来系ラーメン（こうらいけいラーメン）は、主に愛知県名古屋市を中心とするラーメン店で提供されるラーメンの一種である。,"osm(place=city,node:569005393)",1208,,,,発祥がわかる,1959年（昭和34年）に名古屋市千種区で楓彰によって『好来』が創業し、好来系ラーメンが開発された。
黒棒,黒棒,発祥地,福岡県,,福岡県,,都道府県のみ,黒棒（くろぼう）とは、主に九州地方（福岡県筑後地方や佐賀県、熊本県）で作られてきた焼菓子の1種である。,,,,"osm(筑後地方の代表:久留米市,node:3056729963)",1208,筑後地方の代表(表に当てた),黒棒（くろぼう）とは、主に九州地方（福岡県筑後地方や佐賀県、熊本県）で作られてきた焼菓子の1種である。,,発祥は特定なし,黒棒の起源ははっきりしない。
ぬた,ぬた,発祥地,高知県,,高知県,,都道府県のみ,ぬた（饅）高知県伝統のタレの一種。,,,,"osm(県庁所在地:高知市,node:574820566)",1203,,,,発祥は特定なし,味噌のどろりとした見た目が沼田を連想させることからこの名がついた。
のらぼう菜,のらぼう菜,発祥地,埼玉県,飯能市,埼玉県,飯能市,都道府県のみ,のらぼう菜（のらぼうな、野良坊菜）は、あきる野市、青梅市など東京都西多摩地方、埼玉県飯能市、比企郡小川町付近、などで多く栽培されるアブラナ科アブラナ属の野菜（ナバナ）で、江戸東京野菜の一つである。,,,,"osm(place=city,node:247962196)",1201,本文の読み直し,栽培分布は、東京都西多摩地方のあきる野市や青梅市などの山麓地帯と埼玉県飯能市付近が中心である。,,発祥は特定なし,のらぼう菜がいつ頃から栽培され始めたのか、来歴は不明である。
勝浦タンタンメン,勝浦タンタンメン,ご当地,千葉県,勝浦市,千葉県,勝浦市,冒頭の定義文,勝浦タンタンメン（かつうらタンタンメン）は、千葉県勝浦市の飲食店で供される担担麺の名を用いたご当地ラーメンである。,千葉県,勝浦市,勝浦タンタンメン（かつうらタンタンメン）は、千葉県勝浦市の飲食店で供される担担麺の名を用いたご当地ラーメンである。,"osm(place=city,node:1977652858)",1196,,,,発祥がわかる,発祥は1954年（昭和29年）創業の千葉県勝浦市（当時。後に鴨川市に移転、その後再び勝浦市に移転し現存）「江ざわ」とされる。
ちゃんちゃん焼き,ちゃんちゃん焼き,発祥地,北海道,,北海道,,都道府県のみ,北海道や青森県の漁師町の名物料理である。,,,,"osm(県庁所在地:札幌市,node:57683926)",1192,,,,発祥は特定なし,北海道や青森県の漁師町の名物料理である。
一銭洋食,一銭洋食,発祥地,高知県,,高知県,,都道府県のみ,京都市に壹錢洋食、高知県四万十市に壱銭洋食という店が存在する。,,,,"osm(県庁所在地:高知市,node:574820566)",1185,,,,発祥は特定なし,大正時代の近畿地方の駄菓子屋では、水で溶いた小麦粉の生地にわずかな具材を「のせ焼き」してウスターソースを塗ったものを「洋食」と銘打って販売していた。
ハントンライス,ハントンライス,ご当地,石川県,金沢市,石川県,金沢市,冒頭の定義文,ハントンライスは、石川県金沢市の郷土料理である。,石川県,金沢市,ハントンライスは、石川県金沢市の郷土料理である。,"osm(place=city,node:303913177)",1184,,,,発祥がわかる,金沢市内のデパート・大和のレストランで従業員用の賄い料理として当時の料理長が、限られた休み時間で料理もご飯も全部一皿で食べられるよう考案した料理が原型である食楽。
栗きんとん,栗きんとん,発祥地,岐阜県,中津川市,岐阜県,中津川市,発祥を述べる文,江戸時代中期ごろに中津川宿で旅人に提供されていたという説があり、中津川駅前ロータリーには2006年（平成18年）に中津川菓子組合、中津川市観光協会、中津川商工会議所が「栗きんとん発祥の地」の石碑を建立し、栗の節句である9月9日に除幕式が行われた。,岐阜県,中津川市,地域ブランド「中津川栗きんとん」が認定されており、中津川市の名物として認知されている。,"osm(place=city,node:1891211866)",1179,,,,発祥がわかる,中津川駅前ロータリーには2006年（平成18年）に中津川菓子組合、中津川市観光協会、中津川商工会議所が「栗きんとん発祥の地」の石碑を建立し、栗の節句である9月9日に除幕式が行われた。
伊勢うどん,伊勢うどん,ご当地,三重県,伊勢市,三重県,伊勢市,冒頭の定義文,伊勢うどん（いせうどん）は、三重県伊勢市を中心に食べられるうどん料理。,三重県,伊勢市,伊勢うどん（いせうどん）は、三重県伊勢市を中心に食べられるうどん料理。,"osm(place=city,node:1301968609)",1176,,,,発祥がわかる,一般的には浦田町橋本屋七代目である小倉小兵がうどん屋を開業したのが、伊勢のうどん屋の最初といわれている。
出雲そば,出雲そば,発祥地,島根県,,島根県,,都道府県のみ,出雲そば（いずもそば）は、島根県の出雲地方で広く食べられる郷土料理の蕎麦。,,,,"osm(出雲地方の代表:出雲市,node:1735964547)",1170,出雲地方の代表(表に当てた),出雲そば（いずもそば）は、島根県の出雲地方で広く食べられる郷土料理の蕎麦。,,発祥がわかる,信濃国（現在の長野県）松本藩の城主だった松平直政が、江戸幕府第3代将軍徳川家光から出雲国松江藩への国替えを命じられた際、直政が松本からそば職人を伴って来たことから、出雲松江地方にそばが伝わったとされる。
鶏飯,鶏飯,発祥地,鹿児島県,奄美市,鹿児島県,奄美市,発祥を述べる文,現在のスタイルの鶏飯は、奄美市笠利町赤木名で1945年に創業した旅館みなとやの館主岩城キネが、開業に際して江戸時代にあった鶏肉の炊き込みご飯にアレンジを加えて供するようにしたのが始まりとされる。,,,,"osm(place=city,node:3036069906)",1164,,,,発祥がわかる,現在のスタイルの鶏飯は、奄美市笠利町赤木名で1945年に創業した旅館みなとやの館主岩城キネが、開業に際して江戸時代にあった鶏肉の炊き込みご飯にアレンジを加えて供するようにしたのが始まりとされる。
コマイ,コマイ,発祥地,北海道,,北海道,,都道府県のみ,日本国内では、北海道の沿岸、青森県から山口県までの日本海沿岸地域、青森県から宮城県までの太平洋沿岸地域に分布する。,,,,"osm(道東の代表:釧路市,node:381942295)",1157,道東の代表(表に当てた),日本では主に北海道東部（道東）で漁獲され、干物や魚肉練り製品の材料となる。,,発祥は特定なし,日本では主に北海道東部（道東）で漁獲され、干物や魚肉練り製品の材料となる。
ピオーネ,ピオーネ,発祥地,岡山県,,岡山県,,都道府県のみ,生産代表的な産地は岡山県、山梨県、長野県、広島県で生産面積は岡山県が一位、山梨県が二位となっている。,,,,"osm(県庁所在地:岡山市,node:703048335)",1152,,,,発祥がわかる,1957年に、静岡県の井川秀雄が交配し作出された4倍体品種である。
出石そば,出石そば,ご当地,兵庫県,豊岡市,兵庫県,豊岡市,冒頭の定義文,出石そば（いずしそば）は、兵庫県豊岡市出石町を中心に食されている郷土料理の蕎麦。,兵庫県,豊岡市,出石そば（いずしそば）は、兵庫県豊岡市出石町を中心に食されている郷土料理の蕎麦。,"osm(place=city,node:721818726)",1144,,,,発祥がわかる,江戸時代中期の宝永3年（1706年）、信濃国上田藩より但馬国出石藩に国替えとなった仙石政明が、蕎麦（信州そば）職人を連れてきたことが始まりとされる。
朝鮮飴,朝鮮飴,発祥地,熊本県,,熊本県,,都道府県のみ,朝鮮飴（ちょうせんあめ）は、江戸時代から受け継がれる熊本県の伝統銘菓である。,,,,"osm(県庁所在地:熊本市,node:642042925)",1142,,,,発祥がわかる,安土桃山時代、老舗園田屋の開祖である園田武衛門により造られていた当初は、長生飴または肥後飴と呼ばれていた。
高槻うどんギョーザ,高槻うどんギョーザ,発祥地,大阪府,高槻市,大阪府,高槻市,冒頭の定義文,高槻うどんギョーザ（たかつきうどんギョーザ）とは、大阪府高槻市北部の塚原・南平台・阿武野地区の主婦達により、1980年代頃から「皮で包まない、簡単に作ることのできる餃子」として伝承された家庭料理とされている。,,,,"osm(place=city,node:551368471)",1128,,,,発祥は特定なし,高槻うどんギョーザ（たかつきうどんギョーザ）とは、大阪府高槻市北部の塚原・南平台・阿武野地区の主婦達により、1980年代頃から「皮で包まない、簡単に作ることのできる餃子」として伝承された家庭料理とされている。
いももち,いももち,発祥地,北海道,,北海道,,都道府県のみ,北海道北海道では、「いももち（いも餅）」。,,,,"osm(県庁所在地:札幌市,node:57683926)",1121,,,,発祥は特定なし,食糧難の際にコメにサトイモを混ぜたことが起源する説がある千葉市。
ボーロ,ボーロ,発祥地,沖縄県,,沖縄県,,都道府県のみ,しかし、花ぼうろは成形の手間などから次第に廃れ、2016年現在その痕跡は沖縄県の花ボウルとして見るに留まる中山圭子 2006 127。,,,,"osm(県庁所在地:那覇市,node:567940176)",1120,,,,発祥は特定なし,日本には16世紀に伝えられ、江戸時代の『古今名物御前菓子秘伝抄』などの菓子の製法書に製法が残されているものの、当時は材料として鶏卵は用いられていなかった中山圭子 2006 127。
烏賊飯,烏賊飯,発祥地,北海道,,北海道,,都道府県のみ,北海道渡島地方の郷土料理。,,,,"osm(渡島地方の代表:函館市,node:3229063363)",1113,渡島地方の代表(表に当てた),北海道渡島地方の郷土料理。,,発祥がわかる,現在「駅弁」として有名な「いかめし」は、函館本線森駅の駅弁調製業者だった阿部弁当店（現在のいかめし阿部商店）が、第二次世界大戦中の1941年（昭和16年）、戦時体制による食糧統制で米が不足していたため、当時豊漁だったスルメイカを用い、米を節約しても満足感がある料理として考案した。
あきたこまち,あきたこまち,発祥地,秋田県,,秋田県,,都道府県のみ,概要秋田県が独自の良食味品種を目指し、5年以上かけて開発していた品種であった。,,,,"osm(県庁所在地:秋田市,node:752195639)",1111,,,,発祥がわかる,交配の組み合せはコシヒカリと「奥羽292号」であり、1975年に福井県農業試験場で交配が行なわれた。
天むす,天むす,ご当地,愛知県,名古屋市,三重県,津市,発祥を述べる文,概要発祥店は三重県津市の繁華街大門 の「千寿」である金木有香 2014 56岡田登 2015 60三重県地位向上委員会 編 2015 125。,愛知県,名古屋市,三重県発の名古屋めしの一つとして知られる。,"osm(place=city,node:569005393)",1106,,,,発祥がわかる,発祥店は三重県津市の繁華街大門 の「千寿」である金木有香 2014 56岡田登 2015 60三重県地位向上委員会 編 2015 125。
神戸ビーフ,神戸ビーフ,発祥地,兵庫県,,兵庫県,,都道府県のみ,神戸ビーフ（こうベビーフ）は、兵庫県で生産された但馬牛（たじまうし）からとれる枝肉が一定の基準を満たした場合に、但馬牛（たじまぎゅう）の呼称の代わりに用いることが出来る「牛肉」の名称である。,,,,"osm(県庁所在地:神戸市,node:721818614)",1106,,,,発祥がわかる,そのため、兵庫県が協賛して1983年（昭和58年）に生産・流通・消費の関係団体が「神戸肉流通推進協議会」（事務局：全農兵庫県本部畜産部）を創設。同協議会により「神戸ビーフ」とのブランドが誕生し、定義が明確化された。
近江牛,近江牛,発祥地,滋賀県,,滋賀県,,都道府県のみ,近江牛（おうみうし または おうみぎゅう）は、黒毛和種の和牛が滋賀県内で最も長く肥育された場合に許される呼称で、そのウシからとれる牛肉にも用いられる呼称である。,,,,"osm(県庁所在地:大津市,node:541402993)",1106,,,,発祥は特定なし,その蒲生氏郷が領地である近江蒲生日野の地で食肉牛を飼育し、食用としての近江牛の普及には蒲生氏郷が貢献したともいわれている2015年8月。
キチジ,キチジ,発祥地,北海道,網走市,北海道,網走市,都道府県のみ,近年、北海道ではキンキの名で広く流通し、旬の時期には脂の乗りが非常に良く、美味な高級魚とされている。,,,,"osm(place=city,node:405167431)",1089,本文の読み直し,現在はトロール網や底刺し網などが使われ、網走市では魚体を傷つけにくい延縄の専業漁も行われている。,,発祥は特定なし,北海道や東北地方では、高級食用魚として漁獲されている。
ラーメンサラダ,ラーメンサラダ,発祥地,北海道,,北海道,,都道府県のみ,ラーメンサラダとは、北海道発祥の冷製サラダ。,,,,"osm(県庁所在地:札幌市,node:57683926)",1085,,,,発祥がわかる,現在の通説では、札幌グランドホテル内のビアホール「ビッグジョッキ」が1985年にオープンした際に、ビアホールの当時の料理長が「サラダ感覚で味わえるラーメン」として考案したものが元祖とされている。
五島うどん,五島うどん,記事名,長崎県,五島市,長崎県,,都道府県のみ,五島うどん（ごとううどん）は、長崎県五島列島で生産されているうどん。,長崎県,新上五島町,2016年（平成28年）には新上五島町の地域おこし協力隊員が島で育てた小麦を使って五島うどんを作ることを目指して「ムギ部」を立ち上げ、耕作放棄地を利用した小麦栽培を開始した。,"osm(place=city,node:3058491728)",1085,,,,発祥は特定なし,起源には諸説あり、そのうちの一つに、遣唐使から中国大陸の製法が伝えられたとする説がある。
ヤコウガイ,ヤコウガイ,発祥地,沖縄県,,沖縄県,,都道府県のみ,ヤコウガイ（夜光貝）、学名：Turbo marmoratus は、古腹足目リュウテン科に分類される巻貝の一種。,,,,"osm(先島諸島の代表:石垣市,node:656401445)",1084,先島諸島の代表(表に当てた),貝殻は古くは螺鈿の材料として重宝され、産業的多産地としてはフィリピン諸島、アンダマン諸島、ニコバル諸島などがあり、日本では奄美群島、沖縄諸島、先島諸島が産地として知られる。,,発祥は特定なし,ヤコウガイは、先史時代からすでに食用として軟体部が利用されている。
はっと,はっと,発祥地,茨城県,,茨城県,,都道府県のみ,はっと（はっとうとも言う）は、茨城県と福島県の境にある八溝山周辺から、宮城県の大崎地方・栗原・登米地方、岩手県の一関・奥州市地方など、主に東北地方に伝わる郷土料理。,岩手県,奥州市,はっと（はっとうとも言う）は、茨城県と福島県の境にある八溝山周辺から、宮城県の大崎地方・栗原・登米地方、岩手県の一関・奥州市地方など、主に東北地方に伝わる郷土料理。,"osm(県庁所在地:水戸市,node:736355846)",1072,,,,発祥は特定なし,いくつかの由来がある。
呉冷麺,呉冷麺,発祥地,広島県,呉市,広島県,呉市,冒頭の定義文,呉冷麺（くれれいめん）は、広島県呉市発祥の麺料理である。,,,,"osm(place=city,node:191581255)",1070,,,,発祥がわかる,1955年（昭和30年）、呉市の「珍来軒」が新メニューとして呉冷麺を作り上げた珍来軒。
シウマイ弁当,シウマイ弁当,発祥地,神奈川県,横浜市,神奈川県,横浜市,冒頭の定義文,シウマイ弁当（読み：シュウマイ - べんとう）は、「崎陽軒」（神奈川県横浜市西区）が製造・販売する横浜駅の駅弁。,,,,"osm(place=city,node:1973500311)",1069,,,,発祥がわかる,シウマイ弁当は、崎陽軒が横浜駅東口にて運営していた食堂が全焼して間もない1954年（昭和29年）に発売された。
冷たい肉そば,冷たい肉そば,ご当地,山形県,河北町,山形県,河北町,冒頭の定義文,冷たい肉そば（つめたいにくそば）は、山形県河北町谷地（旧谷地町）の名物料理。,山形県,河北町,冷たい肉そば（つめたいにくそば）は、山形県河北町谷地（旧谷地町）の名物料理。,"osm(place=town,node:752206833)",1061,,,,発祥は特定なし,冷たい肉そばがどのようにして誕生したのかは定かではないが、以下のような説がある。
ゴーフル,ゴーフル,発祥地,埼玉県,吉川市,埼玉県,吉川市,発祥を述べる文,神戸凮月堂が記すところ等によれば、1926年（大正15年）頃にもたらされたフランスの焼き菓子をモデルとして、北浜凮月堂の和洋菓子の職人が開発を進め、神戸凮月堂創業者の吉川市三が当時北浜凮月堂の業務執行社員であったことから、1927年（昭和2年）に米津凮月堂、北浜凮月堂、神戸凮月堂で同時に発売された。,,,,"osm(place=city,node:864255936)",1056,,,,発祥は特定なし,凮月堂のゴーフル発売の起源については東京発祥説と関西発祥説がある。
ぬれせんべい,ぬれせんべい,発祥地,千葉県,銚子市,千葉県,銚子市,冒頭の定義文,ぬれせんべいは、千葉県銚子市を発祥とする日本の菓子であり、煎餅の一種。,,,,"osm(place=city,node:2098215168)",1048,,,,発祥がわかる,銚子市の米菓店「柏屋」2代目店主の横山雄次が考案し、1960年ごろから規格外品の「おまけ」として頒布し始め、1963年に商品化。
笹団子,笹団子,発祥地,新潟県,新潟市,新潟県,新潟市,発祥を述べる文,これにより新潟県と新潟市から推薦特産品として初認定を受け、「新潟みやげ菓子の笹団子」として全国へ知れ渡る火付け役となった。,新潟県,新潟市,これにより新潟県と新潟市から推薦特産品として初認定を受け、「新潟みやげ菓子の笹団子」として全国へ知れ渡る火付け役となった。,"osm(place=city,node:752398625)",1048,,,,発祥は特定なし,ササには殺菌効果があり、北越風土記によれば戦国時代に携行保存食として生まれたとされる。
豆腐よう,豆腐よう,発祥地,沖縄県,,沖縄県,,都道府県のみ,豆腐よう（とうふよう、豆腐餻）は、豆腐を使った沖縄の発酵食品である。,,,,"osm(県庁所在地:那覇市,node:567940176)",1034,,,,発祥がわかる,琉球の宮廷料理人によって現在の豆腐ようの製法が改良され、宮中料理として確立する。
芋ケンピ,芋ケンピ,発祥地,高知県,,高知県,,都道府県のみ,特徴高知県の名物菓子として一般的に知られている。,,,,"osm(県庁所在地:高知市,node:574820566)",1029,,,,発祥は特定なし,高知県に平安時代から伝わる郷土菓子に小麦粉を使った干菓子のけんぴ（ケンピ、堅干）がある。
豚丼,豚丼,発祥店,北海道,帯広市,北海道,帯広市,発祥を述べる文,十勝地方に特有のこの種の豚丼は、1933年（昭和8年）に帯広市の大衆食堂「ぱんちょう」創業者である阿部秀司が考案したとされる。,,,,発祥店:元祖 豚丼のぱんちょう(amenity=restaurant),1021,,,,発祥がわかる,十勝地方に特有のこの種の豚丼は、1933年（昭和8年）に帯広市の大衆食堂「ぱんちょう」創業者である阿部秀司が考案したとされる。
安倍川もち,安倍川もち,ご当地,静岡県,静岡市,静岡県,静岡市,冒頭の定義文,安倍川もち（あべかわもち）は、和菓子の一種で静岡県静岡市の名物。,静岡県,静岡市,安倍川もち（あべかわもち）は、和菓子の一種で静岡県静岡市の名物。,"osm(place=city,node:763118317)",1020,,,,発祥は特定なし,江戸時代には安倍川の両岸で売られていたが、安倍川もちの由来については諸説ある。
島豆腐,島豆腐,発祥地,沖縄県,,沖縄県,,都道府県のみ,島豆腐（しまどうふ）は沖縄県の豆腐。,,,,"osm(県庁所在地:那覇市,node:567940176)",1007,,,,発祥は特定なし,それらの交流を背景に豆腐の製法が中国から伝わった可能性が指摘されているが、明確ではない。
がめ煮,がめ煮,発祥地,福岡県,,福岡県,,都道府県のみ,がめ煮（がめに）は、福岡県の代表的な郷土料理。,,,,"osm(県庁所在地:福岡市,node:1932338735)",1000,,,,発祥は特定なし,博多弁の「がめくり込む」（「寄せ集める」などの意）が名前の由来とも、文禄の役の時に、朝鮮に出兵した兵士が当時「どぶがめ」と呼ばれていたスッポンとあり合せの材料を煮込んで食べたのが始まりとも言われている。
鳥中華,鳥中華,発祥地,山形県,天童市,山形県,天童市,発祥を述べる文,誕生は天童市にある1861年創業の「手打 水車生そば」であるとされ、元々は賄い料理として提供していたものである。,,,,"osm(place=city,node:752206823)",1000,,,,発祥がわかる,誕生は天童市にある1861年創業の「手打 水車生そば」であるとされ、元々は賄い料理として提供していたものである。
ぶっかけうどん,ぶっかけうどん,発祥地,岡山県,,岡山県,,都道府県のみ,岡山県・香川県の名物料理の一つ。,,,,"osm(県庁所在地:岡山市,node:703048335)",999,,,,発祥がわかる,倉敷名物として知られるぶっかけうどんは株式会社ふるいちがその発祥であり、昭和40年代に初代社長と2代目社長の発案により誕生している。
焼鯖そうめん,焼鯖そうめん,ご当地,滋賀県,長浜市,滋賀県,長浜市,発祥を述べる文,焼鯖そうめん（やきさばそうめん）は、滋賀県長浜市周辺の湖北地域に伝わる郷土料理。,滋賀県,長浜市,焼鯖そうめん（やきさばそうめん）は、滋賀県長浜市周辺の湖北地域に伝わる郷土料理。,"osm(place=city,node:324857864)",981,,,,発祥は特定なし,農繁期である5月に、農家へ嫁いだ娘を持つ親が忙しい娘を気遣い、実家から嫁ぎ先に焼鯖を届ける「五月見舞い」という湖北地方の習慣に由来する。
